GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringDemo,skillshare.course.SpringDemo.repository,TasksRepository,147,39,0,0,32,7,6,3,6,3
SpringDemo,skillshare.course.SpringDemo.model,Tasks,58,21,12,0,9,8,8,4,2,4
SpringDemo,skillshare.course.SpringDemo.event,TasksJson,39,43,12,0,8,10,7,6,1,6
SpringDemo,skillshare.course.SpringDemo.controller,TaskController,93,23,2,0,21,5,6,3,5,3
SpringDemo,skillshare.course.SpringDemo.service,TaskService,64,8,0,0,18,2,4,2,4,2
SpringDemo,skillshare.course.SpringDemo.exceptions,RepositoryException,9,0,0,0,4,0,2,0,2,0
SpringDemo,skillshare.course.SpringDemo.exceptions,ServiceException,9,0,0,0,4,0,2,0,2,0
SpringDemo,skillshare.course.SpringDemo.transformer,TaskTransformer,45,13,2,0,5,2,3,2,2,2
SpringDemo,com.thg.accelerator.SpringDemo.service,TaskService,64,8,0,0,18,2,4,2,4,2
SpringDemo,com.thg.accelerator.SpringDemo.controller,TaskController,93,23,2,0,21,5,6,3,5,3
SpringDemo,skillshare.course.SpringDemo,SwaggerGeneration,0,41,0,0,0,12,0,3,0,3
SpringDemo,skillshare.course.SpringDemo,SpringDemoApplication,5,7,0,0,2,2,1,2,1,2
SpringDemo,com.thg.accelerator.SpringDemo,SwaggerGeneration,0,41,0,0,0,12,0,3,0,3
SpringDemo,com.thg.accelerator.SpringDemo,SpringDemoApplication,5,7,0,0,2,2,1,2,1,2
SpringDemo,com.thg.accelerator.SpringDemo.transformer,TaskTransformer,45,13,2,0,5,2,3,2,2,2
SpringDemo,com.thg.accelerator.SpringDemo.model,Tasks,58,21,12,0,9,8,8,4,2,4
SpringDemo,com.thg.accelerator.SpringDemo.repository,TasksRepository,147,39,0,0,32,7,6,3,6,3
SpringDemo,com.thg.accelerator.SpringDemo.event,TasksJson,39,43,12,0,8,10,7,6,1,6
SpringDemo,com.thg.accelerator.SpringDemo.exceptions,RepositoryException,9,0,0,0,4,0,2,0,2,0
SpringDemo,com.thg.accelerator.SpringDemo.exceptions,ServiceException,9,0,0,0,4,0,2,0,2,0
